GOID	TERM
2	GO:0000002	mitochondrial genome maintenance
3	GO:0000003	reproduction
6	GO:0000009	alpha-1,6-mannosyltransferase activity
9	GO:0000012	single strand break repair
11	GO:0000015	phosphopyruvate hydratase complex
14	GO:0000018	regulation of DNA recombination
15	GO:0000019	regulation of mitotic recombination
20	GO:0000026	alpha-1,2-mannosyltransferase activity
21	GO:0000027	ribosomal large subunit assembly
22	GO:0000028	ribosomal small subunit assembly
23	GO:0000030	mannosyltransferase activity
28	GO:0000035	acyl binding
30	GO:0000038	very long-chain fatty acid metabolic process
31	GO:0000041	transition metal ion transport
32	GO:0000045	autophagosome assembly
34	GO:0000049	tRNA binding
35	GO:0000050	urea cycle
36	GO:0000052	citrulline metabolic process
38	GO:0000054	ribosomal subunit export from nucleus
39	GO:0000055	ribosomal large subunit export from nucleus
40	GO:0000056	ribosomal small subunit export from nucleus
41	GO:0000062	fatty-acyl-CoA binding
43	GO:0000070	mitotic sister chromatid segregation
45	GO:0000075	cell cycle checkpoint signaling
46	GO:0000076	DNA replication checkpoint signaling
47	GO:0000077	DNA damage checkpoint signaling
48	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
50	GO:0000082	G1/S transition of mitotic cell cycle
54	GO:0000086	G2/M transition of mitotic cell cycle
63	GO:0000096	sulfur amino acid metabolic process
64	GO:0000097	sulfur amino acid biosynthetic process
70	GO:0000103	sulfate assimilation
71	GO:0000104	succinate dehydrogenase activity
80	GO:0000118	histone deacetylase complex
81	GO:0000120	RNA polymerase I transcription regulator complex
83	GO:0000122	negative regulation of transcription by RNA polymerase II
84	GO:0000123	histone acetyltransferase complex
85	GO:0000124	SAGA complex
86	GO:0000126	transcription factor TFIIIB complex
87	GO:0000127	transcription factor TFIIIC complex
90	GO:0000132	establishment of mitotic spindle orientation
95	GO:0000139	Golgi membrane
99	GO:0000145	exocyst
103	GO:0000149	SNARE binding
105	GO:0000151	ubiquitin ligase complex
106	GO:0000152	nuclear ubiquitin ligase complex
107	GO:0000153	cytoplasmic ubiquitin ligase complex
108	GO:0000154	rRNA modification
111	GO:0000159	protein phosphatase type 2A complex
115	GO:0000164	protein phosphatase type 1 complex
116	GO:0000165	MAPK cascade
117	GO:0000166	nucleotide binding
120	GO:0000172	ribonuclease MRP complex
121	GO:0000175	3'-5'-exoribonuclease activity
122	GO:0000176	nuclear exosome (RNase complex)
124	GO:0000178	exosome (RNase complex)
125	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
128	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
130	GO:0000209	protein polyubiquitination
131	GO:0000210	NAD+ diphosphatase activity
132	GO:0000212	meiotic spindle organization
133	GO:0000213	tRNA-intron endonuclease activity
134	GO:0000214	tRNA-intron endonuclease complex
135	GO:0000215	tRNA 2'-phosphotransferase activity
137	GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
138	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
141	GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
142	GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
143	GO:0000226	microtubule cytoskeleton organization
145	GO:0000228	nuclear chromosome
157	GO:0000244	spliceosomal tri-snRNP complex assembly
158	GO:0000245	spliceosomal complex assembly
