geneID	gff_annotation	gff_annotation2
113029702	lto1	LTO1%2C ABCE1 maturation factor
113030404	fgf3	fibroblast growth factor 3
113031092	fgf4	fibroblast growth factor 4
113031763	fgf19	fibroblast growth factor 19
113029596	LOC113029596	apoptosis regulator BAX-like%2C transcript variant X3
113029735	ano1	anoctamin 1%2C transcript variant X4
113030129	fadd	Fas associated via death domain
113030035	LOC113030035	high choriolytic enzyme 1-like%2C transcript variant X2
113030205	LOC113030205	uncharacterized LOC113030205
113030270	tlnrd1	talin rod domain containing 1
113030319	mtch2	mitochondrial carrier 2
113030377	tollip	toll interacting protein%2C transcript variant X1
113026898	LOC113026898	mucin-2-like
113030491	snrpa1	small nuclear ribonucleoprotein polypeptide A'
113030564	selenos	selenoprotein S
113030618	chsy1	chondroitin sulfate synthase 1
113030680	lrrk1	leucine rich repeat kinase 1
113030757	asb7	ankyrin repeat and SOCS box containing 7
113030831	lins1	lines homolog 1
113030896	LOC113030896	matrin-3-like%2C transcript variant X1
113031093	cers3	ceramide synthase 3%2C transcript variant X2
113031684	mthfs	methenyltetrahydrofolate synthetase%2C transcript variant X2
113031468	minar1	membrane integral NOTCH2 associated receptor 1%2C transcript variant X5
113031360	adamts17	ADAM metallopeptidase with thrombospondin type 1 motif 17%2C transcript variant X2
113031237	LOC113031237	uncharacterized LOC113031237%2C transcript variant X2
113031777	fah	fumarylacetoacetate hydrolase
113032417	ctxnd1	cortexin domain containing 1%2C transcript variant X1
113031847	arnt2	aryl hydrocarbon receptor nuclear translocator 2%2C transcript variant X1
113032154	abhd17c	abhydrolase domain containing 17C%2C transcript variant X1
113033498	LOC113033498	uncharacterized LOC113033498
113032418	cemip	cell migration inducing hyaluronidase 1%2C transcript variant X2
113032755	mesd	mesoderm development LRP chaperone
113032627	znf414	zinc finger protein 414%2C transcript variant X2
113032546	LOC113032546	pinin-like
113032814	ankdd1a	ankyrin repeat and death domain containing 1A%2C transcript variant X1
113033044	il16	interleukin 16%2C transcript variant X1
113033132	stard5	StAR related lipid transfer domain containing 5
113033189	tmc3	transmembrane channel like 3
113033412	pole3	DNA polymerase epsilon 3%2C accessory subunit%2C transcript variant X2
113033237	kmt5b	lysine methyltransferase 5B%2C transcript variant X3
113033514	LOC113033514	CD82 antigen-like%2C transcript variant X2
113033620	herc1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1%2C transcript variant X3
113028097	LOC113028097	U6 spliceosomal RNA
113034076	LOC113034076	uncharacterized LOC113034076
113027130	LOC113027130	translation initiation factor IF-2-like
113034118	LOC113034118	death-associated protein kinase 3-like%2C transcript variant X2
113034991	LOC113034991	uncharacterized LOC113034991
113034294	LOC113034294	ras-related protein Rab-11A
113034360	LOC113034360	multiple epidermal growth factor-like domains protein 11%2C transcript variant X4
113034661	LOC113034661	uncharacterized LOC113034661%2C transcript variant X1
113034730	LOC113034730	RNA-binding protein 20-like%2C transcript variant X3
113035145	LOC113035145	uncharacterized LOC113035145
113035698	LOC113035698	serine/threonine-protein kinase pim-2-like%2C transcript variant X2
113035209	LOC113035209	lactase-like protein%2C transcript variant X4
113036567	LOC113036567	gamma-crystallin N-like
113035402	LOC113035402	G2/mitotic-specific cyclin-B2-like%2C transcript variant X1
113035521	cars	cysteinyl-tRNA synthetase%2C transcript variant X1
113035780	pex16	peroxisomal biogenesis factor 16
113035680	arfgap2	ADP ribosylation factor GTPase activating protein 2%2C transcript variant X2
113035847	LOC113035847	deleted in malignant brain tumors 1 protein-like
113035896	ppfia1	PTPRF interacting protein alpha 1%2C transcript variant X7
113036537	cttn	cortactin%2C transcript variant X3
113036733	LOC113036733	uncharacterized LOC113036733%2C transcript variant X1
113037075	LOC113037075	uncharacterized LOC113037075%2C transcript variant X2
113037140	shank2	SH3 and multiple ankyrin repeat domains 2%2C transcript variant X9
113037569	LOC113037569	uncharacterized LOC113037569%2C transcript variant X1
113006342	LOC113006342	golgin subfamily B member 1-like%2C transcript variant X3
113037255	LOC113037255	guanylyl cyclase-activating protein 2-like
113006638	LOC113006638	retinal cone rhodopsin-sensitive cGMP 3'%2C5'-cyclic phosphodiesterase subunit gamma-like%2C transcript variant X1
113006559	LOC113006559	retinol dehydrogenase 14-like
113006753	LOC113006753	ras association domain-containing protein 8-like%2C transcript variant X3
113007008	LOC113007008	serine/threonine-protein kinase BRSK2-like%2C transcript variant X1
113007621	LOC113007621	ankyrin repeat and BTB/POZ domain-containing protein 2-like
113007674	LOC113007674	USP6 N-terminal-like protein
113007794	LOC113007794	uncharacterized LOC113007794
113007728	LOC113007728	coiled-coil domain-containing protein 42 homolog
113007837	LOC113007837	para-nitrobenzyl esterase-like%2C transcript variant X2
113006581	LOC113006581	G2/M phase-specific E3 ubiquitin-protein ligase-like%2C transcript variant X1
113008025	LOC113008025	LARGE xylosyl- and glucuronyltransferase 2%2C transcript variant X1
113008230	LOC113008230	uncharacterized LOC113008230
113026798	LOC113026798	uncharacterized LOC113026798
113008303	LOC113008303	nuclear receptor ROR-alpha-like%2C transcript variant X1
113007706	LOC113007706	beta-1%2C3-galactosyltransferase 1-like
113008473	LOC113008473	uncharacterized protein KIAA0895-like
113008537	LOC113008537	casein kinase II subunit alpha'-like%2C transcript variant X1
113008701	znf319	zinc finger protein 319
113008642	LOC113008642	junctophilin-3-like
113008757	psmd13	proteasome 26S subunit%2C non-ATPase 13%2C transcript variant X1
113008849	sirt3	sirtuin 3%2C transcript variant X2
113009029	LOC113009029	D(4) dopamine receptor-like%2C transcript variant X1
113009135	LOC113009135	cadherin-related family member 5-like%2C transcript variant X2
113009231	ctsd	cathepsin D
113009308	LOC113009308	zinc finger BED domain-containing protein 1-like
113009376	LOC113009376	alpha-2Db adrenergic receptor-like
113009450	znf408	zinc finger protein 408
113009522	LOC113009522	aggrecan core protein-like
113009573	ppip5k1	diphosphoinositol pentakisphosphate kinase 1
113009642	map1a	microtubule associated protein 1A%2C transcript variant X1
113010331	LOC113010331	uncharacterized LOC113010331
113009761	tp53bp1	tumor protein p53 binding protein 1%2C transcript variant X1
113010186	tubgcp4	tubulin gamma complex associated protein 4
113010255	LOC113010255	protein CDKN2AIP homolog A-like
113009007	LOC113009007	cocaine- and amphetamine-regulated transcript protein-like
113010448	LOC113010448	cocaine- and amphetamine-regulated transcript protein-like%2C transcript variant X2
113010370	iqgap1	IQ motif containing GTPase activating protein 1
113010570	crtc3	CREB regulated transcription coactivator 3%2C transcript variant X1
113010695	adamtsl5	ADAMTS like 5%2C transcript variant X1
113010897	LOC113010897	uncharacterized LOC113010897
113010826	LOC113010826	zinc finger BED domain-containing protein 4-like
113011336	serinc4	serine incorporator 4%2C transcript variant X2
113011718	hypk	huntingtin interacting protein K
113011534	mfap1	microfibril associated protein 1
113011655	hddc3	HD domain containing 3
113010943	vps33b	VPS33B%2C late endosome and lysosome associated%2C transcript variant X2
113011101	prc1	protein regulator of cytokinesis 1%2C transcript variant X1
113011604	ptpmt1	protein tyrosine phosphatase%2C mitochondrial 1
113011782	ndufs3	NADH:ubiquinone oxidoreductase core subunit S3
113011855	c1qtnf4	C1q and TNF related 4%2C transcript variant X1
113009696	LOC113009696	high choriolytic enzyme 1-like
113010330	LOC113010330	lymphocyte antigen 75-like
113011962	atp6v0d1	ATPase H+ transporting V0 subunit d1
113011051	LOC113011051	forkhead box protein N5-like%2C transcript variant X1
113012233	LOC113012233	uncharacterized LOC113012233
113012026	LOC113012026	uncharacterized LOC113012026
113012953	LOC113012953	uncharacterized LOC113012953
